,game_id,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
0,Brescia Pistoia game 1,3 punti sbagliato,,Amedeo Della Valle,missed,36,36,270,784,6
1,Brescia Pistoia game 1,3 punti sbagliato,,Kenny Gabriel,missed,42,42,1095,896,7
2,Brescia Pistoia game 1,2 punti segnato,,Miro Bilan,made,110,110,615,308,0
3,Brescia Pistoia game 1,2 punti segnato,,Semaj Christon,made,148,148,540,448,2
4,Brescia Pistoia game 1,3 punti segnato,,Amedeo Della Valle,made,190,190,1005,840,7
5,Brescia Pistoia game 1,2 punti sbagliato,,Miro Bilan,missed,229,229,630,364,0
6,Brescia Pistoia game 1,3 punti segnato,,Amedeo Della Valle,made,276,276,345,896,6
7,Brescia Pistoia game 1,2 punti segnato,,Nicola Akele,made,344,344,840,224,0
8,Brescia Pistoia game 1,2 punti sbagliato,,Amedeo Della Valle,missed,369,369,900,532,3
9,Brescia Pistoia game 1,2 punti segnato,,Nicola Akele,made,382,382,735,476,2
10,Brescia Pistoia game 1,2 punti segnato,Miro Bilan,Semaj Christon,made,411,411,780,196,0
11,Brescia Pistoia game 1,2 punti segnato,,Jason Burnell,made,456,456,780,196,0
12,Brescia Pistoia game 1,3 punti sbagliato,,David Reginald Cournooh,missed,491,491,465,952,6
13,Brescia Pistoia game 1,2 punti sbagliato,,C.J. Massinburg,missed,517,517,900,392,3
14,Brescia Pistoia game 1,2 punti sbagliato,,David Reginald Cournooh,missed,551,551,450,476,2
15,Brescia Pistoia game 1,2 punti segnato,,Nicola Akele,made,586,586,840,196,0
16,Brescia Pistoia game 1,2 punti segnato,David Reginald Cournooh,Michael Cobbins,made,10,610,615,252,0
17,Brescia Pistoia game 1,3 punti sbagliato,,Kenny Gabriel,missed,80,680,1365,476,8
18,Brescia Pistoia game 1,2 punti segnato,,Jason Burnell,made,113,713,690,252,0
19,Brescia Pistoia game 1,2 punti sbagliato,,Semaj Christon,missed,185,785,840,280,0
20,Brescia Pistoia game 1,2 punti sbagliato,,C.J. Massinburg,missed,213,813,870,252,0
21,Brescia Pistoia game 1,2 punti segnato,,C.J. Massinburg,made,213,813,870,252,0
22,Brescia Pistoia game 1,3 punti sbagliato,,Amedeo Della Valle,missed,253,853,405,896,6
23,Brescia Pistoia game 1,3 punti sbagliato,,Kenny Gabriel,missed,260,860,195,672,6
24,Brescia Pistoia game 1,2 punti segnato,Semaj Christon,Kenny Gabriel,made,281,881,735,140,0
25,Brescia Pistoia game 1,2 punti segnato,,Semaj Christon,made,352,952,525,476,2
26,Brescia Pistoia game 1,2 punti sbagliato,,Jason Burnell,missed,378,978,555,252,0
27,Brescia Pistoia game 1,2 punti segnato,,Miro Bilan,made,389,989,495,448,2
28,Brescia Pistoia game 1,3 punti segnato,Semaj Christon,Jason Burnell,made,416,1016,1215,812,7
29,Brescia Pistoia game 1,2 punti sbagliato,,Nicola Akele,missed,452,1052,885,336,0
